"county","party","candidate","votes","home_ownership"
Chase,Republican,Donald Trump,476,77.1
Cherokee,Republican,Donald Trump,18460,79.1
St. Francois,Republican,Donald Trump,4061,68.7
Pointe Coupee,Democrat,Hillary Clinton,1680,78.0
Routt,Democrat,Bernie Sanders,406,70.6
Gage,Republican,Donald Trump,1407,72.4
Floyd,Democrat,Bernie Sanders,4010,69.2
Monongalia,Democrat,Bernie Sanders,8096,57.0
Charlottesville,Democrat,Bernie Sanders,4474,40.5
Franklin City,Democrat,Hillary Clinton,831,42.5
Forsyth,Democrat,Hillary Clinton,24446,64.0
Ravalli,Republican,Donald Trump,6281,72.9
LaGrange,Republican,Donald Trump,2571,78.9
White,Republican,Donald Trump,3044,76.6
Wayne,Democrat,Hillary Clinton,163886,64.8
Rabun,Republican,Donald Trump,1732,73.2
Perry,Republican,Donald Trump,1642,79.9
Multnomah,Democrat,Bernie Sanders,87247,54.2
Benton,Democrat,Bernie Sanders,11567,57.9
Boyle,Democrat,Hillary Clinton,1648,65.0
Platte,Republican,Donald Trump,2902,71.5
Warren,Democrat,Hillary Clinton,468,65.9
Hyde,Democrat,Hillary Clinton,459,77.6
Bradley,Republican,Donald Trump,770,68.8
Livingston,Republican,Ted Cruz,3235,73.9
Charles City,Democrat,Hillary Clinton,863,80.5
Mahaska,Republican,Ted Cruz,669,70.5
Allegheny,Democrat,Hillary Clinton,122399,65.5
Ventura,Democrat,Hillary Clinton,45848,64.9
Jackson,Republican,Donald Trump,5362,73.0
Daviess,Republican,Donald Trump,3894,75.8
Fremont,Democrat,Bernie Sanders,268,70.7
Irwin,Republican,Donald Trump,869,72.4
Franklin,Republican,Donald Trump,3130,75.6
Prairie,Republican,Donald Trump,269,86.9
Kauai,Democrat,Bernie Sanders,2049,62.6
Winnebago,Democrat,Bernie Sanders,17818,66.3
Phelps,Republican,Donald Trump,963,72.1
Decatur,Republican,Donald Trump,3319,70.6
Clark,Republican,Ted Cruz,62,59.5
Lanier,Republican,Donald Trump,512,60.9
Alcona,Republican,Donald Trump,1111,89.8
Adair,Republican,Donald Trump,1512,74.7
Athens,Democrat,Bernie Sanders,5663,56.6
Oklahoma,Democrat,Hillary Clinton,34255,59.9
Calhoun,Democrat,Hillary Clinton,200,79.0
Morgan,Republican,Donald Trump,10235,76.5
Big Horn,Democrat,Hillary Clinton,2,75.7
LaPorte,Republican,Donald Trump,9494,72.7
Worth,Republican,Donald Trump,1890,74.1
Oktibbeha,Democrat,Hillary Clinton,2389,51.7
Ralls,Republican,Donald Trump,961,81.5
Hendry,Republican,Donald Trump,1290,69.6
Scott,Republican,Donald Trump,715,73.0
Union,Democrat,Hillary Clinton,2548,69.3
Palm Beach,Democrat,Hillary Clinton,103369,71.2
Walthall,Republican,Donald Trump,1143,82.5
Cumberland,Republican,Donald Trump,460,75.5
Crawford,Republican,Donald Trump,2189,76.0
Cullman,Republican,Donald Trump,10618,75.0
Chatham,Democrat,Hillary Clinton,7406,79.9
Dunklin,Republican,Donald Trump,1781,61.4
Geneva,Republican,Donald Trump,3106,72.1
Furnas,Republican,Donald Trump,546,72.3
Warren,Democrat,Hillary Clinton,1217,78.7
Zavala,Democrat,Hillary Clinton,1557,68.6
Marin,Democrat,Hillary Clinton,27238,62.8
Putnam,Democrat,Bernie Sanders,504,79.6
Douglas,Republican,Donald Trump,1657,77.7
Pendleton,Democrat,Bernie Sanders,546,76.1
Bacon,Republican,Donald Trump,904,67.5
Fulton,Democrat,Hillary Clinton,701,78.1
Trumbull,Democrat,Hillary Clinton,17903,72.3
Tunica,Democrat,Hillary Clinton,904,43.6
Macoupin,Democrat,Bernie Sanders,3552,76.7
Johnson,Democrat,Bernie Sanders,5473,59.7
Haywood,Democrat,Bernie Sanders,3873,74.4
Weston,Democrat,Bernie Sanders,1,76.1
Attala,Democrat,Hillary Clinton,1519,73.6
Arenac,Republican,Donald Trump,1141,83.8
Custer,Republican,Donald Trump,1363,68.9
Bexar,Democrat,Hillary Clinton,76502,59.7
Minnehaha,Democrat,Hillary Clinton,6018,64.4
Orange,Republican,Donald Trump,146888,58.7
Baker,Democrat,Hillary Clinton,303,72.0
Spencer,Republican,Donald Trump,2350,82.1
Los Alamos,Democrat,Hillary Clinton,1424,75.4
Passaic,Democrat,Hillary Clinton,29538,54.3
Miller,Republican,Donald Trump,555,74.5
Warren,Republican,Donald Trump,1018,73.4
Jerauld,Democrat,Hillary Clinton,96,72.7
Kalamazoo,Democrat,Bernie Sanders,20146,64.7
Larimer,Democrat,Bernie Sanders,6664,65.6
Atoka,Democrat,Bernie Sanders,723,75.1
Duval,Democrat,Hillary Clinton,58632,61.6
Jasper,Republican,Donald Trump,1205,76.1
Black Hawk,Democrat,Bernie Sanders,3647,67.8
White,Republican,Donald Trump,1424,78.6
Vermillion,Republican,Donald Trump,1748,78.2
Hudson,Democrat,Hillary Clinton,49798,32.6
Hayes,Republican,Donald Trump,103,67.7
Winnebago,Democrat,Bernie Sanders,230,76.1
Dickinson,Democrat,Bernie Sanders,358,75.6
Cheyenne,Democrat,Hillary Clinton,5,76.5
Livingston,Republican,Donald Trump,1191,70.8
Monroe,Republican,Donald Trump,8802,79.2
Jefferson,Democrat,Bernie Sanders,8281,70.6
Lackawanna,Democrat,Hillary Clinton,22971,66.8
Clay,Republican,Donald Trump,702,77.8
Howell,Republican,Donald Trump,4230,69.7
Cecil,Republican,Donald Trump,7348,74.1
Greenlee,Democrat,Hillary Clinton,497,46.1
Moultrie,Republican,Ted Cruz,1321,78.7
Chilton,Republican,Donald Trump,5273,74.5
Weston,Democrat,Hillary Clinton,1,76.1
Carter,Democrat,Bernie Sanders,2113,69.0
Owsley,Republican,Donald Trump,168,74.4
Erie,Democrat,Hillary Clinton,19511,67.5
Lincoln,Republican,Donald Trump,3235,68.6
Caldwell,Republican,Donald Trump,284,74.2
Russell,Democrat,Hillary Clinton,4381,61.3
Adams,Republican,Ted Cruz,3851,78.9
Charleston,Democrat,Hillary Clinton,26535,60.6
Clarke,Republican,Donald Trump,1399,84.1
Gulf,Republican,Donald Trump,1038,71.3
Taylor,Democrat,Hillary Clinton,949,69.8
Holt,Republican,Donald Trump,1302,74.5
Tuolumne,Republican,Donald Trump,4949,69.9
Dane,Democrat,Bernie Sanders,102585,59.5
Jessamine,Democrat,Bernie Sanders,2113,66.0
Mills,Republican,Donald Trump,300,83.7
Fayette,Democrat,Hillary Clinton,9184,72.8
Turner,Republican,Donald Trump,652,64.7
Kootenai,Republican,Ted Cruz,11924,70.6
Columbia,Republican,Donald Trump,9177,78.9
Fillmore,Republican,Donald Trump,574,77.3
Butts,Republican,Donald Trump,1884,75.2
Rockland,Democrat,Hillary Clinton,16966,69.9
La Salle,Democrat,Hillary Clinton,557,71.1
Wayne,Democrat,Hillary Clinton,7546,60.7
Val Verde,Democrat,Hillary Clinton,1777,66.7
Dixon,Republican,Donald Trump,513,76.8
Andrew,Republican,Donald Trump,1457,76.7
Haralson,Republican,Donald Trump,2818,70.3
Yellowstone,Republican,Donald Trump,17925,68.8
St. Tammany,Republican,Donald Trump,12933,78.0
Carbon,Republican,Donald Trump,1507,76.7
Fredericksburg,Democrat,Hillary Clinton,1396,38.1
Wright,Democrat,Hillary Clinton,273,77.4
Beauregard,Republican,Ted Cruz,1363,76.8
Pike,Republican,Donald Trump,1603,77.9
Franklin,Democrat,Bernie Sanders,2338,72.3
LaClede,Republican,Donald Trump,3493,70.0
Montcalm,Republican,Donald Trump,3051,79.2
Dinwiddie,Democrat,Hillary Clinton,1935,76.6
Marshall,Democrat,Bernie Sanders,960,73.4
Otsego,Republican,Donald Trump,1933,79.4
Jackson,Democrat,Hillary Clinton,15,72.2
Pontotoc,Republican,Ted Cruz,2498,78.2
Chaffee,Democrat,Bernie Sanders,404,76.2
Rosebud,Republican,Donald Trump,959,68.5
Schley,Republican,Donald Trump,331,64.4
Pottawattamie,Democrat,Bernie Sanders,1573,70.2
Clayton,Democrat,Bernie Sanders,408,78.2
Fulton,Democrat,Hillary Clinton,315,60.4
Sumter,Democrat,Hillary Clinton,2987,64.7
Rio Blanco,Democrat,Bernie Sanders,18,68.8
Refugio,Democrat,Hillary Clinton,549,77.6
Johnston,Democrat,Bernie Sanders,606,71.8
Hardin,Republican,Donald Trump,496,79.5
Mohave,Republican,Donald Trump,14154,69.4
Rockdale,Democrat,Hillary Clinton,7930,69.0
Catahoula,Democrat,Hillary Clinton,431,77.1
Crawford,Republican,Donald Trump,930,79.0
Chowan,Democrat,Hillary Clinton,974,66.4
Ripley,Republican,Donald Trump,1096,71.9
San Francisco,Democrat,Hillary Clinton,85070,36.6
Page,Republican,Ted Cruz,249,73.2
Lowndes,Democrat,Hillary Clinton,4030,62.1
Mississippi,Democrat,Hillary Clinton,2017,58.8
Saint Lawrence,Democrat,Bernie Sanders,4102,70.8
Choctaw,Democrat,Hillary Clinton,1772,83.7
Cheboygan,Republican,Donald Trump,2089,81.1
Clinton,Democrat,Bernie Sanders,1234,74.4
Randolph,Republican,Donald Trump,2939,73.4
Monroe,Republican,Donald Trump,3272,81.1
Riverside,Republican,Donald Trump,82814,66.5
Bergen,Democrat,Hillary Clinton,55264,65.6
Wakulla,Republican,Donald Trump,1664,78.7
Allen,Republican,Donald Trump,640,73.7
Pulaski,Republican,Donald Trump,1668,80.0
Carbon,Democrat,Hillary Clinton,4,73.7
Scott,Republican,Donald Trump,1929,73.2
Marion,Republican,Donald Trump,2454,74.7
Lane,Democrat,Bernie Sanders,41883,59.6
Lincoln,Republican,Donald Trump,3073,78.4
Ogle,Republican,Ted Cruz,4307,76.1
Gallatin,Democrat,Bernie Sanders,340,68.3
Stone,Republican,Ted Cruz,1428,82.6
Eau Claire,Democrat,Bernie Sanders,13058,63.5
Kenedy,Democrat,Hillary Clinton,63,28.9
Okmulgee,Democrat,Bernie Sanders,1882,69.7
Carroll,Republican,John Kasich,0,73.2
Roberts,Democrat,Bernie Sanders,397,69.8
Monroe,Republican,Donald Trump,2602,77.3
Dent,Republican,Donald Trump,1688,72.9
Walker,Republican,Donald Trump,8394,75.0
Lamar,Republican,Donald Trump,1398,70.1
Floyd,Republican,Donald Trump,5945,64.2
Cass,Republican,Donald Trump,3941,75.9
Beadle,Democrat,Hillary Clinton,501,64.8
Harrison,Republican,Donald Trump,12555,61.0
San Diego,Democrat,Hillary Clinton,139813,53.8
Braxton,Democrat,Bernie Sanders,1321,76.9
Menifee,Democrat,Bernie Sanders,323,74.7
Perry,Democrat,Hillary Clinton,648,79.5
Pearl River,Republican,Donald Trump,4562,77.6
Greene,Republican,Donald Trump,1088,87.4
Lucas,Democrat,Hillary Clinton,32137,62.2
Ripley,Republican,Donald Trump,3694,76.2
Custer,Republican,Donald Trump,430,83.5
Williamsburg,Democrat,Hillary Clinton,4609,74.3
Bronx,Democrat,Hillary Clinton,95772,19.4
Russell,Republican,Donald Trump,1106,74.4
Northampton,Democrat,Hillary Clinton,3195,72.9
St. John the Baptist,Democrat,Hillary Clinton,3818,77.7
San Miguel,Democrat,Bernie Sanders,329,64.4
Nassau,Democrat,Hillary Clinton,70947,80.5
Lassen,Republican,Donald Trump,2508,62.9
Clay,Democrat,Hillary Clinton,297,66.6
Tama,Democrat,Hillary Clinton,476,74.7
Alamance,Democrat,Hillary Clinton,7374,67.1
Sumter,Democrat,Hillary Clinton,1960,58.2
Claiborne,Democrat,Hillary Clinton,768,70.0
Wright,Republican,Donald Trump,1874,72.2
Chambers,Democrat,Hillary Clinton,2899,67.9
Modoc,Republican,Donald Trump,1019,68.8
Pulaski,Democrat,Hillary Clinton,34862,60.4
Jefferson,Democrat,Hillary Clinton,9936,64.5
Shannon,Republican,Donald Trump,808,78.1
Howard,Republican,Ted Cruz,798,74.0
Knox,Democrat,Bernie Sanders,3168,68.4
Hancock,Democrat,Hillary Clinton,1112,77.7
Gem,Republican,Ted Cruz,1391,74.6
Presidio,Democrat,Hillary Clinton,776,71.9
Dallas,Democrat,Hillary Clinton,113574,52.5
Gilchrist,Republican,Donald Trump,1860,79.7
Citrus,Republican,Donald Trump,15232,82.6
Itawamba,Republican,Donald Trump,1905,79.0
Elmore,Republican,Donald Trump,1252,62.4
Tehama,Republican,Donald Trump,3940,67.5
Menard,Republican,Ted Cruz,1064,80.8
Marion,Republican,Donald Trump,3503,75.9
Coles,Republican,Donald Trump,3156,62.0
Moniteau,Republican,Ted Cruz,1374,74.6
Holmes,Republican,Donald Trump,1239,79.3
Mitchell,Democrat,Hillary Clinton,260,81.4
Barnwell,Democrat,Hillary Clinton,1560,74.6
Hendricks,Republican,Donald Trump,18555,82.4
Edwards,Republican,Donald Trump,867,79.9
Woodford,Democrat,Bernie Sanders,1918,72.5
Franklin,Republican,Donald Trump,333,82.2
Cobb,Democrat,Hillary Clinton,39277,66.4
Webster,Republican,Donald Trump,1191,73.6
Madera,Republican,Donald Trump,8247,60.8
Iron,Republican,Donald Trump,868,84.5
Carter,Democrat,Bernie Sanders,1051,79.7
Carlisle,Democrat,Bernie Sanders,462,80.8
Hidalgo,Democrat,Hillary Clinton,40276,68.4
Franklin,Republican,Donald Trump,1229,74.0
Iroquois,Republican,Donald Trump,2836,75.3
Ringgold,Democrat,Hillary Clinton,132,76.5
Buffalo,Republican,Donald Trump,3748,64.8
Porter,Republican,Donald Trump,16194,77.4
Albemarle,Democrat,Hillary Clinton,8284,66.1
DeKalb,Democrat,Hillary Clinton,82348,56.7
Cameron,Democrat,Hillary Clinton,20326,67.2
Mineral,Democrat,Bernie Sanders,25,83.7
Vernon,Republican,Donald Trump,1530,69.7
Grant,Democrat,Bernie Sanders,715,73.5
Edgecombe,Democrat,Hillary Clinton,6411,62.9
Etowah,Republican,Donald Trump,8657,72.4
Wheeler,Republican,Donald Trump,283,66.6
Craig,Democrat,Bernie Sanders,926,78.8
Montgomery,Democrat,Hillary Clinton,28650,61.4
Columbia,Democrat,Bernie Sanders,3302,72.4
Holt,Republican,Donald Trump,504,71.6
Pulaski,Republican,Donald Trump,2802,53.3
Story,Democrat,Bernie Sanders,2737,55.0
Lee,Democrat,Hillary Clinton,956,57.0
Warren,Republican,Donald Trump,1321,76.6
Forsyth,Republican,Donald Trump,15698,85.6
Lincoln,Republican,Ted Cruz,276,71.7
Jackson,Democrat,Bernie Sanders,3021,67.8
Grayson,Republican,Donald Trump,749,72.3
Winchester,Democrat,Hillary Clinton,949,48.6
Lincoln,Democrat,Bernie Sanders,4674,65.5
Orleans,Democrat,Hillary Clinton,40601,47.3
Tensas,Democrat,Hillary Clinton,492,63.5
Pulaski,Republican,Donald Trump,673,68.0
Caldwell,Republican,Donald Trump,780,71.0
Posey,Republican,Donald Trump,3159,85.0
Cochise,Republican,Donald Trump,6339,68.8
Broward,Democrat,Hillary Clinton,132527,65.9
Cherokee,Republican,Donald Trump,248,74.9
Alameda,Democrat,Hillary Clinton,107102,53.2
Hancock,Republican,Donald Trump,1494,78.3
Kalkaska,Republican,Donald Trump,1724,81.2
Buchanan,Republican,Donald Trump,4691,64.7
La Plata,Democrat,Bernie Sanders,1466,66.5
Switzerland,Republican,Donald Trump,858,76.3
Caroline,Democrat,Hillary Clinton,1902,80.1
Jefferson,Republican,Donald Trump,1648,85.9
Santa Rosa,Republican,Donald Trump,16044,73.6
Phillips,Republican,Donald Trump,1097,76.4
Harris,Republican,Donald Trump,2542,86.7
Hamilton,Republican,Donald Trump,35031,79.2
Henry,Republican,Donald Trump,3021,78.1
Fremont,Democrat,Hillary Clinton,10,72.0
Callaway,Republican,Ted Cruz,3261,76.1
Lafayette,Republican,Donald Trump,556,79.9
Prince William,Democrat,Hillary Clinton,26439,72.1
Lowndes,Democrat,Hillary Clinton,3782,74.9
Lee,Democrat,Hillary Clinton,7137,61.7
Dearborn,Republican,Donald Trump,6617,77.0
Coffee,Republican,Donald Trump,2469,69.4
Blaine,Republican,Donald Trump,99,58.2
Worcester,Republican,Donald Trump,5808,78.4
Gwinnett,Democrat,Hillary Clinton,37465,68.4
Clay,Republican,Ted Cruz,13559,71.0
Menominee,Democrat,Bernie Sanders,355,71.2
Pickens,Republican,Donald Trump,3360,78.9
McDonald,Republican,Donald Trump,1580,69.5
Sacramento,Democrat,Hillary Clinton,68248,56.7
Robertson,Democrat,Bernie Sanders,177,74.2
Franklin,Republican,Donald Trump,9080,76.6
McCormick,Democrat,Hillary Clinton,973,79.3
Saline,Republican,Donald Trump,1417,67.8
Rapides,Democrat,Hillary Clinton,4722,66.0
Essex,Democrat,Hillary Clinton,642,76.2
Petersburg,Democrat,Hillary Clinton,4099,45.7
Fluvanna,Democrat,Hillary Clinton,1355,85.5
Fleming,Democrat,Bernie Sanders,806,78.5
Rock,Democrat,Bernie Sanders,17337,71.1
Crittenden,Democrat,Bernie Sanders,344,78.5
Gratiot,Democrat,Bernie Sanders,1812,76.1
Washington,Democrat,Bernie Sanders,41841,61.0
Colleton,Democrat,Hillary Clinton,2932,74.4
Grundy,Republican,Ted Cruz,272,81.9
Montezuma,Democrat,Bernie Sanders,412,70.5
Barton,Republican,Ted Cruz,1560,75.3
Marion,Democrat,Hillary Clinton,3359,67.1
Emanuel,Republican,Donald Trump,1489,65.6
Portsmouth,Democrat,Hillary Clinton,9464,57.2
Jeff Davis,Republican,Donald Trump,1071,71.3
Bay,Democrat,Bernie Sanders,6363,78.1
Mason,Democrat,Bernie Sanders,775,71.2
Jeff Davis,Democrat,Hillary Clinton,738,74.0
Carroll,Republican,Marco Rubio,0,73.2
Orange,Democrat,Hillary Clinton,66654,57.4
Texas,Republican,Donald Trump,2659,75.3
Perkins,Republican,Donald Trump,331,75.1
Grand Traverse,Democrat,Bernie Sanders,8091,75.4
Cleveland,Democrat,Hillary Clinton,4880,68.0
Boundary,Republican,Ted Cruz,901,74.4
Early,Republican,Donald Trump,760,64.7
Sheridan,Republican,Donald Trump,499,74.4
Cleburne,Republican,Donald Trump,2120,77.6
Pierce,Republican,Donald Trump,617,80.2
Dawes,Republican,Donald Trump,831,64.8
Big Horn,Republican,Donald Trump,1087,67.4
Natchitoches,Democrat,Hillary Clinton,2545,62.1
Shelby,Democrat,Bernie Sanders,232,77.7
McPherson,Republican,Donald Trump,114,69.2
Blaine,Republican,Donald Trump,543,70.1
Chariton,Republican,Donald Trump,597,76.2
Panola,Democrat,Hillary Clinton,3061,76.3
Tulare,Republican,Donald Trump,15334,57.5
Harrison,Democrat,Bernie Sanders,1059,66.1
Harford,Republican,Donald Trump,21771,80.2
Calaveras,Republican,Donald Trump,4902,78.4
Hopkins,Democrat,Bernie Sanders,2696,71.8
Jefferson,Democrat,Hillary Clinton,64090,62.7
Paulding,Republican,Donald Trump,10002,82.1
Brunswick,Democrat,Hillary Clinton,1354,72.2
Martin,Democrat,Hillary Clinton,2469,69.9
St. Louis City,Democrat,Hillary Clinton,34458,44.6
Gogebic,Democrat,Bernie Sanders,790,75.5
Cumberland,Republican,Ted Cruz,1081,80.8
Stanislaus,Republican,Donald Trump,15390,58.1
Morgan,Republican,Donald Trump,10909,71.5
Breathitt,Democrat,Bernie Sanders,1716,75.0
Nottoway,Democrat,Hillary Clinton,829,64.8
Madison,Democrat,Bernie Sanders,18723,72.5
Greeley,Republican,Donald Trump,125,80.8
Christian,Republican,Donald Trump,2392,74.7
Manatee,Republican,Donald Trump,26320,71.4
Wapello,Democrat,Hillary Clinton,817,72.8
Adams,Republican,Donald Trump,354,81.6
Henry,Democrat,Hillary Clinton,15639,75.0
Adair,Democrat,Bernie Sanders,971,70.8
Tattnall,Republican,Donald Trump,1089,71.3
Logan,Republican,Donald Trump,1208,75.4
Darlington,Democrat,Hillary Clinton,4988,69.7
Whitley,Republican,Donald Trump,1556,67.4
Lenawee,Republican,Donald Trump,5167,77.8
Jefferson,Republican,Ted Cruz,3080,83.8
Putnam,Republican,Donald Trump,4087,79.1
Indian River,Republican,Donald Trump,13678,74.9
Hardin,Democrat,Hillary Clinton,4359,62.9
Pettis,Republican,Donald Trump,3343,69.6
Columbia,Republican,Donald Trump,1149,68.9
Fremont,Democrat,Bernie Sanders,10,72.0
Union,Democrat,Hillary Clinton,822,80.2
Pickens,Democrat,Hillary Clinton,2326,72.0
Hillsdale,Republican,Donald Trump,3060,80.0
Imperial,Democrat,Hillary Clinton,5743,56.4
Liberty,Republican,Donald Trump,387,62.2
Bayfield,Democrat,Bernie Sanders,2604,82.0
Kiowa,Democrat,Hillary Clinton,5,72.8
Uinta,Democrat,Bernie Sanders,5,72.7
Henderson,Republican,Donald Trump,516,79.6
Dallas,Democrat,Hillary Clinton,8577,60.9
Clay,Republican,Donald Trump,1294,79.6
Antrim,Republican,Donald Trump,1969,85.0
West Baton Rouge,Democrat,Hillary Clinton,2178,72.4
Crittenden,Democrat,Hillary Clinton,3379,56.3
Arthur,Republican,Donald Trump,68,61.6
Tippecanoe,Republican,Donald Trump,10296,54.2
Davis,Republican,Donald Trump,205,80.2
Madison,Democrat,Bernie Sanders,2044,74.8
Tipton,Republican,Donald Trump,2269,77.2
Trempealeau,Democrat,Bernie Sanders,2429,74.4
Jefferson,Democrat,Hillary Clinton,17581,62.5
Perry,Democrat,Hillary Clinton,2575,67.0
Glacier,Democrat,Bernie Sanders,1074,59.5
Calhoun,Democrat,Bernie Sanders,200,79.0
Bamberg,Democrat,Hillary Clinton,1715,75.9
Clinton,Republican,Donald Trump,1635,72.6
Wilcox,Republican,Donald Trump,602,75.6
Lincoln,Republican,Donald Trump,4144,78.1
Teton,Republican,Ted Cruz,465,72.1
Worth,Democrat,Bernie Sanders,218,81.1
Madison,Republican,Donald Trump,2280,66.1
Meagher,Republican,Donald Trump,394,71.9
Fremont,Republican,Ted Cruz,1434,82.5
Calhoun,Democrat,Hillary Clinton,413,80.0
Franklin,Democrat,Hillary Clinton,4951,76.5
Osceola,Democrat,Hillary Clinton,16512,63.1
Cassia,Republican,Ted Cruz,2095,69.0
Henry,Democrat,Bernie Sanders,958,72.0
Hood River,Democrat,Bernie Sanders,2527,66.1
Kenton,Democrat,Hillary Clinton,5146,68.0
Lawrence,Republican,Donald Trump,3604,80.1
Carroll,Republican,Donald Trump,7495,66.7
Frederick,Republican,Donald Trump,15076,75.3
Colusa,Republican,Donald Trump,1342,63.3
Scotland,Democrat,Hillary Clinton,2671,63.6
Barren,Democrat,Bernie Sanders,2653,68.2
Arkansas,Republican,Donald Trump,1073,67.5
Letcher,Democrat,Bernie Sanders,1788,75.4
Noble,Republican,Donald Trump,4422,76.1
Bingham,Republican,Ted Cruz,3471,74.8
Rowan,Democrat,Bernie Sanders,1363,65.2
Union,Democrat,Hillary Clinton,40972,60.4
Treutlen,Republican,Donald Trump,437,68.0
Amite,Democrat,Hillary Clinton,1212,85.3
Washington,Republican,Donald Trump,1739,78.6
Dewey,Democrat,Bernie Sanders,342,58.2
Carroll,Republican,Donald Trump,0,73.2
Sullivan,Democrat,Bernie Sanders,2671,65.3
Camden,Republican,Donald Trump,5467,78.2
Palo Alto,Democrat,Hillary Clinton,213,77.2
Butte,Republican,Ted Cruz,275,79.5
Fairfield,Democrat,Hillary Clinton,3260,73.6
St. Martin,Democrat,Hillary Clinton,1869,80.3
Surry,Democrat,Hillary Clinton,812,79.9
Baraga,Republican,Donald Trump,468,79.3
DeSoto,Democrat,Hillary Clinton,1508,75.4
Uvalde,Democrat,Hillary Clinton,1740,71.1
Newton,Republican,Ted Cruz,6452,74.9
Boone,Republican,Donald Trump,3816,82.5
Chesterfield,Democrat,Hillary Clinton,22674,77.0
Foard,Democrat,Bernie Sanders,112,69.5
Kinney,Democrat,Hillary Clinton,211,82.0
Marion,Republican,Donald Trump,1581,79.5
Chicot,Democrat,Hillary Clinton,1370,66.3
Clearwater,Republican,Donald Trump,629,80.1
McHenry,Republican,Donald Trump,16514,82.3
Schoolcraft,Republican,Donald Trump,529,84.1
Chattooga,Republican,Donald Trump,1674,69.7
Owyhee,Republican,Ted Cruz,717,64.2
Grady,Republican,Donald Trump,1422,58.5
Miami-Dade,Democrat,Hillary Clinton,129467,55.7
Morgan,Democrat,Bernie Sanders,87,63.5
Lincoln,Democrat,Hillary Clinton,599,69.7
Carroll,Democrat,Bernie Sanders,573,62.9
Troup,Republican,Donald Trump,4140,60.9
Newton,Republican,Donald Trump,1794,77.6
Jackson,Democrat,Hillary Clinton,48860,61.1
Hickory,Republican,Donald Trump,297,82.8
Emporia,Democrat,Hillary Clinton,404,45.5
Henry,Republican,Donald Trump,5714,73.3
Grenada,Republican,Donald Trump,1727,73.5
Crawford,Republican,Donald Trump,1162,82.0
Rensselaer,Democrat,Bernie Sanders,6649,65.7
Clinton,Republican,Donald Trump,771,75.6
Nelson,Democrat,Hillary Clinton,991,75.8
Hardin,Republican,Ted Cruz,417,74.4
Newport News,Democrat,Hillary Clinton,12495,51.4
Henrico,Democrat,Hillary Clinton,28121,65.2
Allegany,Republican,Donald Trump,6272,69.8
Harrisonburg,Democrat,Bernie Sanders,2911,36.2
Flagler,Republican,Donald Trump,9684,80.2
Mesa,Democrat,Bernie Sanders,1095,71.7
Elbert,Democrat,Bernie Sanders,144,90.4
Levy,Republican,Donald Trump,3745,77.5
Monroe,Democrat,Hillary Clinton,2438,74.0
Taylor,Republican,Donald Trump,140,76.2
Lonoke,Republican,Ted Cruz,4028,73.2
Upson,Republican,Donald Trump,1910,67.0
Wayne,Republican,Donald Trump,1735,83.3
Cass,Republican,Donald Trump,680,72.2
Delta,Republican,Donald Trump,1954,79.3
San Joaquin,Democrat,Hillary Clinton,25118,58.3
Rio Grande,Democrat,Bernie Sanders,59,67.4
Hancock,Republican,Donald Trump,9520,80.2
Madison,Democrat,Hillary Clinton,1085,76.5
Minidoka,Republican,Ted Cruz,1163,72.8
Dawson,Republican,Donald Trump,1950,68.3
Tillman,Democrat,Bernie Sanders,346,73.5
Barbour,Democrat,Hillary Clinton,2567,67.7
Macon,Republican,Donald Trump,1489,76.8
Lafayette,Republican,Donald Trump,7171,65.5
Boise,Republican,Donald Trump,691,78.3
Vanderburgh,Republican,Donald Trump,14544,63.6
Madison,Democrat,Hillary Clinton,722,53.9
Webster,Republican,Ted Cruz,4124,75.9
Carroll,Republican,Donald Trump,16534,82.2
Hinds,Democrat,Hillary Clinton,31386,59.3
Butler,Democrat,Bernie Sanders,350,79.6
DeSoto,Republican,Ted Cruz,12300,75.1
Marion,Democrat,Bernie Sanders,5324,76.1
Delta,Democrat,Bernie Sanders,417,75.7
Osceola,Republican,Ted Cruz,113,74.9
Pawnee,Republican,Donald Trump,225,74.9
Taylor,Democrat,Hillary Clinton,140,76.2
Ziebach,Democrat,Bernie Sanders,132,51.7
Richmond,Democrat,Hillary Clinton,16269,54.5
Montgomery,Republican,Donald Trump,712,69.4
Sullivan,Republican,Donald Trump,2379,72.2
Humboldt,Democrat,Bernie Sanders,13245,55.9
JoDaviess,Republican,Donald Trump,1666,78.3
Richland,Republican,Donald Trump,1435,69.1
Perry,Republican,Donald Trump,1561,77.8
Linn,Republican,Donald Trump,955,76.7
Bear Lake,Republican,Ted Cruz,643,81.3
Taliaferro,Democrat,Hillary Clinton,236,73.2
Granville,Democrat,Hillary Clinton,4693,74.9
Lamar,Republican,Donald Trump,1810,71.5
Montrose,Democrat,Bernie Sanders,258,73.1
Fayette,Republican,Donald Trump,8055,82.9
Colfax,Republican,Donald Trump,494,74.4
Murray,Republican,Donald Trump,3084,68.9
Randolph,Republican,Donald Trump,1887,71.4
Watauga,Democrat,Bernie Sanders,5811,54.9
Hart,Democrat,Bernie Sanders,1062,73.8
Muskogee,Democrat,Bernie Sanders,3515,67.4
Allen,Republican,Ted Cruz,29963,69.8
Greene,Republican,Donald Trump,1014,75.8
Bradford,Republican,Donald Trump,1802,77.8
Emmet,Democrat,Bernie Sanders,2589,77.4
Howard,Republican,Donald Trump,534,79.4
